INDEX,REGION,DISTRICT,SOURCE NAME,SOURCE TYPE,SETTLEMENT,Latitude,Longitude
1,Lower Juba,Afmadow,Fanole,Borehole,Fanole,0.513611,42.033056
2,Lower Juba,Afmadow,Siigaale,Borehole,Qooqaani,0.2766111,41.7171374
3,Lower Juba,Afmadow,Towfiq,Borehole,Afmadow,0.5033549,42.065899
4,Lower Juba,Afmadow,Afmadow Borehole ,Borehole,Afmadow,0.5213612,42.0833257
5,Lower Juba,Afmadow,Dodowajo,Borehole,Afmadow,0.4554406,42.0842377
6,Lower Juba,Afmadow,Mido,Borehole,Mido,0.3092337,42.1502431
7,Lower Juba,Afmadow,Waystation,Borehole,Afmadow,0.5178889,42.0700975
8,Lower Juba,Afmadow,Towfiq 1,Shallow Well,Afmadow,0.5077,42.0691
9,Lower Juba,Afmadow,Cilanle,Shallow Well,Afmadow,0.5211,42.0749
10,Lower Juba,Afmadow,Tuware,Shallow Well,Afmadow,0.5119,42.0768
11,Lower Juba,Afmadow,Haji Ali Shallow well,Shallow Well,Afmadow,0.5202,42.0749
12,Lower Juba,Afmadow,Babeyle shallow well ,Shallow Well,Afmadow,0.5199,42.0768
13,Lower Juba,Afmadow,Kabxanle shallow well ,Shallow Well,Afmadow,0.5202,42.076
14,Lower Juba,Afmadow,Anfac shallow well ,Shallow Well,Afmadow,0.5203,42.0751
15,Lower Juba,Afmadow,Larg Shallow well,Shallow Well,Afmadow,0.5199,42.0756
16,Lower Juba,Afmadow,Abdinoor Shallow well,Shallow Well,Afmadow,0.5203,42.0753
17,Lower Juba,Afmadow,Ceyn shallow well,Shallow Well,Afmadow,0.5213,42.0761
18,Lower Juba,Afmadow,Heylow Shallow well ,Shallow Well,Afmadow,0.5211,42.076
19,Lower Juba,Badhaadhe,Hoosingo,Borehole,Hoosingo,-0.1712244,41.2702726
20,Lower Juba,Badhaadhe,Waraq,Borehole,Waraq,-0.4151958,41.0074475
21,Lower Juba,Badhaadhe,Kolbiyow,Shallow Well,Badhaadhe,-1.139276,41.227346
22,Lower Juba,Badhaadhe,Kamboni water source,Shallow Well,Badhaadhe,-1.032342,41.974786
23,Lower Juba,Badhaadhe,Kudha ,Shallow Well,Badhaadhe,-1.028627,41.977448
24,Lower Juba,Badhaadhe,Burgabo,Shallow Well,Badhaadhe,-1.216756,41.837379
25,Lower Juba,Badhaadhe,Kamboni water source,Barkad,Raskamboni,-1.032342,41.974786
26,Lower Juba,Badhaadhe,Kudha ,Barkad,Kudhaa,-1.028627,41.977448
27,Lower Juba,Badhaadhe,Burgabo,Barkad,Burgabo ,-1.216756,41.837379
28,Lower Juba,Dhobley,Ceel Solar,Borehole,Dhobley,0.4223636,41.0244422
29,Lower Juba,Dhobley,Ceeldhiig,Borehole,Dhobley,0.3958271,41.0090479
30,Lower Juba,Dhobley,Mowlid Laqay,Borehole,Dhobley,0.404774,41.0247585
31,Lower Juba,Dhobley,Taabto,Borehole,Taabto,0.3057392,41.4392889
32,Lower Juba,Dhobley,Durdur,Borehole,Dhobley,0.4178119,40.9976555
33,Lower Juba,Dhobley,Degelema,Borehole,Degelema,0.3006588,40.9985952
34,Lower Juba,Dhobley,Diif,Borehole,Diif,0.9626293,41.0613864
35,Lower Juba,Dhobley,Ceelka IDO,Borehole,Dhoobley,0.4268059,41.015793
36,Lower Juba,Dhobley,Ceelka koowad,Borehole,Dhoobleey,0.4117634,41.0009216
37,Lower Juba,Dhobley,Danwadaag,Borehole,Dhoobley,0.3961249,41.0030156
38,Lower Juba,Dhobley,Guxweyne 1,Borehole,Dhobley,0.4082699,41.0136165
39,Lower Juba,Dhobley,Guuxeyne 2,Borehole,Dhobley,0.4082637,41.0136122
40,Lower Juba,Dhobley,Dhoobale,Borehole,Dhobley,0.4096949,41.0112162
41,Lower Juba,Dhobley,Ceelqararow,Borehole,Dhoobley,0.4251115,41.0083244
42,Lower Juba,Jamaame,Bula Gaduud,Shallow Well,Jamaame,0.071,42.5856
43,Lower Juba,Kismayo,Janaa Cabdalla,Borehole,Janaa Cabdalla,0.0285256,42.2905428
